Valgrækkefølge	Region	Speciale	Enhed	Afdeling	Speciale 2	Område
209	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Indre København
210	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
211	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
212	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Lungemedicinsk afd. J, Odense	Almen medicin	Område Fyn
213	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Indre København
214	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Byen
215	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Hovedstaden - Byen
216	Nordjylland	Urologi	Aalborg Universitetshospital	Urologisk Afdeling	Almen medicin	Område Region Nordjylland
217	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Byen
218	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
219	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Indre København
220	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
221	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Byen
222	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Kirurgi	Bornholms Hospital
223	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
224	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
225	Hovedstaden	Ortopædisk kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Ortopædkirurgisk Afdeling M	Almen medicin	Indre København
226	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
227	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Hovedstaden - Syd
228	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
229	Nordjylland	Neurologi	Aalborg Universitetshospital	Neurologisk Afdeling	Almen medicin	Område Region Nordjylland
230	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
231	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
232	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
233	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Indre København
234	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
235	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
236	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Byen
237	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Hovedstaden - Midt
238	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Afdeling for medicinsk mavetarmsygdomme S, Odense	Almen medicin	Område Fyn
239	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Ældresygdomme	Almen medicin	Ydre København
240	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Ydre København
241	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Afdeling for medicinsk mavetarmsygdomme S, Odense	Almen medicin	Område Fyn
242	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Byen
243	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Ydre København
244	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
245	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Infektionsmedicinsk Afdeling	Almen medicin	Ydre København
246	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Intern medicin	Bornholms Hospital
247	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Kirurgi	Bornholms Hospital
248	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk afd. N, Odense	Almen medicin	Område Fyn
249	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
250	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
251	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
252	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Ydre København
253	Nordjylland	Kirurgi	Regionshospital Nordjylland	Kirurgisk område	Almen medicin	Område Region Nordjylland
254	Midtjylland	Akutmedicin	Hospitalsenheden Horsens	Akutafdelingen, Overafdeling	Almen medicin	Distrikt Øst
255	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Bornholm
256	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
257	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
258	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
259	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Ydre København
260	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
261	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
262	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
263	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
264	Syddanmark	Intern medicin	OUH Svendborg Sygehus	Medicinsk afd. M, Svendborg	Almen medicin	Område Fyn
265	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
266	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Afdeling for medicinsk mavetarmsygdomme S, Odense	Almen medicin	Område Fyn
267	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Ydre København
268	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Syd
269	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Ydre København
270	Syddanmark	Intern medicin	OUH Odense Universitetshospital	Lungemedicinsk afd. J, Odense	Almen medicin	Område Fyn
271	Syddanmark	Neurologi	OUH Odense Universitetshospital	Neurologisk afd. N, Odense	Almen medicin	Område Fyn
272	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Byen
273	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
274	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
275	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
276	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Midt
277	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
278	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
279	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
280	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
281	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Kolding	Hjertesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
282	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
283	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
284	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
285	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afdeling	Almen medicin	Område Region Nordjylland
286	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
287	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Hovedstaden - Nord
288	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
289	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
290	Syddanmark	Ortopædisk kirurgi	OUH Odense Universitetshospital	Ortopædkirurgisk afd. O, Odense	Almen medicin	Område Fyn
291	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A, Odense	Almen medicin	Område Fyn
292	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
293	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Syd
294	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
295	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
296	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Midt
297	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Syd
298	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Nordsjælland
299	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
300	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
301	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
302	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
303	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
304	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Indre København
305	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
306	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
307	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Midt
308	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Indre København
309	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Kolding	Hjertesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
310	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
311	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
312	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Nordsjælland
313	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Midt
314	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
315	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
316	Nordjylland	Intern medicin	Aalborg Universitetshospital	Medicinsk Gastroenteologisk Afdeling	Almen medicin	Område Region Nordjylland
317	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Ydre København
318	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
319	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
320	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
321	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
322	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
323	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
324	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
325	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
326	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
327	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemedicinsk Afdeling	Almen medicin	Område Region Nordjylland
328	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
329	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
330	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afdeling	Almen medicin	Område Region Nordjylland
331	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
332	Midtjylland	Intern medicin	Aarhus Universitetshospital	Medicinsk afd.	Almen medicin	Distrikt Øst
333	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Nordsjælland
334	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Ydre København
335	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Midt
336	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
337	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Nordsjælland
338	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
339	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
340	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kirurgisk afdeling, afsnit syd Aalborg	Almen medicin	Område Region Nordjylland
341	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemedicinsk Afdeling	Almen medicin	Område Region Nordjylland
342	Sjælland	Urologi	Sjællands Universitetshospital	ROS, Urologisk afd.	Almen medicin	Område Sjællands Universitetshospital
343	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
344	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
345	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
346	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kirurgisk afdeling, afsnit syd Aalborg	Almen medicin	Område Region Nordjylland
347	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
348	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
349	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
350	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemedicinsk Afdeling	Almen medicin	Område Region Nordjylland
351	Sjælland	Urologi	Sjællands Universitetshospital	ROS, Urologisk afd.	Almen medicin	Område Sjællands Universitetshospital
352	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Bornholm
353	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
354	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Nordsjælland
355	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
356	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Midt
357	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
358	Nordjylland	Intern medicin	Aalborg Universitetshospital	Medicinsk Gastroenteologisk Afdeling	Almen medicin	Område Region Nordjylland
359	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
360	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
361	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
362	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Midt
363	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemedicinsk Afdeling	Almen medicin	Område Region Nordjylland
364	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
365	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Nordsjælland
366	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
367	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
368	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
369	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
370	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
371	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
372	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Nord
373	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Nordsjælland
374	Grønland og Færøerne	Kirurgi	Landssjúkrahúsið, Torshavn, Færøerne	Kirurgisk Afdeling	Almen medicin	Område Færøerne
375	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
376	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Ydre København
377	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
378	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
379	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
380	Sjælland	Ortopædisk kirurgi	Sjællands Universitetshospital, Nykøbing F.	Ortopædkirurgisk afd.	Almen medicin	Område Nykøbing Falster Sygehus
381	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
382	Nordjylland	Neurologi	Aalborg Universitetshospital	Neurologisk Afdeling	Almen medicin	Område Region Nordjylland
383	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
384	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Midt
385	Sjælland	Intern medicin	Sjællands Universitetshospital, Nykøbing F.	Medicinsk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
386	Syddanmark	Neurologi	Esbjerg Sygehus	Hjerne- og Nervesygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
387	Syddanmark	Neurologi	Sygehus Lillebælt Kolding	Hjerne- og Nervesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
388	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
389	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
390	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
391	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
392	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
393	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
394	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
395	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
396	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Ydre København
397	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Nordsjælland
398	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
399	Syddanmark	Ortopædisk kirurgi	OUH Odense Universitetshospital	Ortopædkirurgisk afd. O, Odense	Almen medicin	Område Fyn
400	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
401	Hovedstaden	Kirurgi	Bornholms Hospital	BOH, Afdeling for Kirurgi	Almen medicin	Bornholms Regionskommune
402	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 1	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
403	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
404	Nordjylland	Intern medicin	Aalborg Universitetshospital	Medicinsk Gastroenteologisk Afdeling	Almen medicin	Område Region Nordjylland
405	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afdeling	Almen medicin	Område Region Nordjylland
406	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
407	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
408	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
409	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Nordsjælland
410	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Nordsjælland
411	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Midt
412	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Midt
413	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Nordsjælland
414	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
415	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
