Valgrækkefølge	Region	Speciale	Enhed	Afdeling	Speciale 2	Område
203	Syddanmark	Intern medicin: Kardiologi	OUH Odense Universitetshospital	Hjertemedicinsk afd. B, Odense	Almen medicin	Område Fyn
204	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
205	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
206	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
207	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
208	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi	Almen medicin	Distrikt Øst
209	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
210	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
211	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Lunge-, Hormon- og Stofskiftesygdomme,  Lungemedicinsk sektion	Almen medicin	Hovedstaden - Syd
212	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
213	Syddanmark	Ortopædisk kirurgi	OUH Svendborg Sygehus	Ortopædkirurgisk afd. O, Svendborg	Almen medicin	Område Fyn
214	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
215	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Nord
216	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjertesygdomme	Almen medicin	Hovedstaden - Syd
217	Midtjylland	Akutmedicin	Hospitalsenhed Midt	Akutafdelingen	Almen medicin	Distrikt Midt
218	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
219	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
220	Hovedstaden	Intern medicin	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Medicinsk Klinik	Almen medicin	Hovedstaden - Midt
221	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
222	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Hovedstaden - Nord
223	Hovedstaden	Neurologi	Rigshospitalet	GLO, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Syd
224	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
225	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A, Svendborg	Almen medicin	Område Fyn
226	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
227	Hovedstaden	Almen medicin	Hovedstaden - Syd	Lægeklinikken Vesterbrogade 35A	Psykiatri	Psykiatrien Region Hovedstaden
228	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
229	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Midt
230	Syddanmark	Ortopædisk kirurgi	OUH Svendborg Sygehus	Ortopædkirurgisk afd. O, Svendborg	Almen medicin	Område Fyn
231	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
232	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Syd
233	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
234	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Kolding	Hjertesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
235	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
236	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkirurgisk afd., Vejle	Almen medicin	Område Lillebælt (Vejle)
237	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
238	Midtjylland	Intern medicin	Hospitalsenheden Horsens	Medicinsk Afdeling, Overafdeling	Almen medicin	Distrikt Øst
239	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
240	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
241	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
242	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
243	Hovedstaden	Kirurgi	Bispebjerg og Frederiksberg Hospital	BBH, Abdominalcenter K, Kirurgisk	Almen medicin	Hovedstaden - Byen
244	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
245	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
246	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
247	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
248	Færøerne	Intern medicin	Landssjúkrahúsið, Torshavn, Færøerne	Medicinsk afdeling	Almen medicin	Område Færøerne
249	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
250	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
251	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
252	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Syd
253	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
254	Syddanmark	Ortopædisk kirurgi	OUH Svendborg Sygehus	Ortopædkirurgisk afd. O, Svendborg	Almen medicin	Område Fyn
255	Syddanmark	Intern medicin: Kardiologi	Sygehus Lillebælt Kolding	Hjertesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
256	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Endokrinologisk og Nefrologisk Afdeling	Almen medicin	Hovedstaden - Nord
257	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
258	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Syd
259	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
260	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
261	Syddanmark	Ortopædisk kirurgi	OUH Svendborg Sygehus	Ortopædkirurgisk afd. O, Svendborg	Almen medicin	Område Fyn
262	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Midt
263	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
264	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
265	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
266	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
267	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
268	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Nord
269	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
270	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
271	Midtjylland	Akutmedicin	Regionshospitalet Randers	Akutafdelingen - Randers	Almen medicin	Distrikt Øst
272	Syddanmark	Urologi	Sygehus Lillebælt Vejle	Urinvejskirurgis afd., Vejle	Almen medicin	Område Lillebælt (Vejle)
273	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
274	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
275	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
276	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
277	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Syd
278	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
279	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
280	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
281	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers	Almen medicin	Distrikt Øst
282	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
283	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 2 - endokrinologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
284	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
285	Syddanmark	Intern medicin	Sygehus Lillebælt Vejle	Medicinsk afdeling, Vejle	Almen medicin	Område Lillebælt (Vejle)
286	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Hovedstaden - Midt
287	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
288	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afdeling	Almen medicin	Område Region Nordjylland
289	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 1	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
290	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
291	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Syd
292	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
293	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
294	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
295	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Hovedstaden - Midt
296	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
297	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
298	Midtjylland	Kirurgi	Hospitalsenhed Midt	Mave-, Tarm- og Brystkirurgi	Almen medicin	Distrikt Midt
299	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
300	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afdeling	Almen medicin	Område Region Nordjylland
301	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
302	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
303	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
304	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk afdeling, Aalborg	Almen medicin	Område Region Nordjylland
305	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
306	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afdeling	Almen medicin	Område Region Nordjylland
307	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
308	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	Hovedstaden - Nord
309	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Hovedstaden - Syd
310	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
311	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Nord
312	Hovedstaden	Akutmedicin	Nordsjællands Hospital	HIL, Akutafdelingen	Almen medicin	Hovedstaden - Nord
313	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
314	Syddanmark	Urologi	Sygehus Lillebælt Vejle	Urinvejskirurgis afd., Vejle	Almen medicin	Område Lillebælt (Vejle)
315	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
316	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
317	Midtjylland	Psykiatri	Psykiatrien Region Midtjylland	Afdeling for Depression og Angst – Aarhus Universitetshospital Psykiatrien	Almen medicin	Distrikt Øst
318	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkirurgisk afd., Vejle	Almen medicin	Område Lillebælt (Vejle)
319	Hovedstaden	Almen medicin	Hovedstaden - Byen	2100 Lægehuset Østerbro	Psykiatri	Psykiatrien Region Hovedstaden
320	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
321	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme, Aabenraa	Almen medicin	Område Sønderjylland
322	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
323	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
324	Midtjylland	Kirurgi	Hospitalsenhed Midt	Mave-, Tarm- og Brystkirurgi	Almen medicin	Distrikt Midt
325	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
326	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
327	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afdeling 1	Almen medicin	Område Holbæk Sygehus
328	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
329	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Diagnostisk Center	Almen medicin	Distrikt Midt
330	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
331	Nordjylland	Kirurgi	Regionshospital Nordjylland	Kirurgisk område	Almen medicin	Område Region Nordjylland
332	Midtjylland	Kirurgi	Regionshospitalet Gødstrup	Mave- og Tarmkirurgi	Almen medicin	Distrikt Vest
333	Syddanmark	Intern medicin	Sygehus Lillebælt Kolding	Medicinske sygdomme	Almen medicin	Område Lillebælt (Vejle)
334	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
335	Hovedstaden	Neurologi	Nordsjællands Hospital	HIL, Neurologisk Afdeling	Almen medicin	Hovedstaden - Nord
336	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
337	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Hovedstaden - Midt
338	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
339	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
340	Færøerne	Intern medicin	Landssjúkrahúsið, Torshavn, Færøerne	Medicinsk afdeling	Almen medicin	Område Færøerne
341	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkirurgisk afd., Vejle	Almen medicin	Område Lillebælt (Vejle)
342	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
343	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
344	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
345	Syddanmark	Neurologi	Sygehus Lillebælt Kolding	Hjerne- og Nervesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
346	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Nord
347	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
348	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemedicinsk Afdeling	Almen medicin	Område Region Nordjylland
349	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
350	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 2 - endokrinologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
351	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk Afd.	Almen medicin	Område Region Nordjylland
352	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Hovedstaden - Midt
353	Hovedstaden	Intern medicin	Nordsjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	Hovedstaden - Nord
354	Nordjylland	Intern medicin	Aalborg Universitetshospital	Medicinsk Gastroenteologisk Afdeling	Almen medicin	Område Region Nordjylland
355	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
356	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
357	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
358	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
359	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Syd
360	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
361	Midtjylland	Psykiatri	Psykiatrien Region Midtjylland	Afdeling for Psykoser – Aarhus Universitetshospital Psykiatrien	Almen medicin	Distrikt Øst
362	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
363	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
364	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
365	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 2 - endokrinologisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
366	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
367	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
368	Syddanmark	Neurologi	Sygehus Lillebælt Kolding	Hjerne- og Nervesygdomme, Kolding	Almen medicin	Område Lillebælt (Vejle)
369	Midtjylland	Neurologi	Hospitalsenhed Midt	Neurologi	Almen medicin	Distrikt Midt
370	Midtjylland	Psykiatri	Psykiatrien Region Midtjylland	Afdeling for Psykoser – Aarhus Universitetshospital Psykiatrien	Almen medicin	Distrikt Øst
371	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
372	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
373	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
374	Hovedstaden	Neurologi	Nordsjællands Hospital	HIL, Neurologisk Afdeling	Almen medicin	Hovedstaden - Nord
375	Hovedstaden	Neurologi	Nordsjællands Hospital	HIL, Neurologisk Afdeling	Almen medicin	Hovedstaden - Nord
376	Nordjylland	Neurologi	Aalborg Universitetshospital	Neurologisk Afdeling	Almen medicin	Område Region Nordjylland
377	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremedicinsk afdeling	Almen medicin	Område Region Nordjylland
378	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
379	Syddanmark	Intern medicin	Esbjerg Sygehus	Fælles Medicinske afdelinger, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
380	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme, Aabenraa	Almen medicin	Område Sønderjylland
381	Hovedstaden	Intern medicin	Bornholms Hospital	BOH, Afdeling for Medicinske Sygdomme	Almen medicin	Hovedstaden - Bornholm
382	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Fælles Akut Modtagelse, Aabenraa	Almen medicin	Område Sønderjylland
383	Syddanmark	Psykiatri	Psykiatrien i Region Syddanmark	Psykiatriske afdeling, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
384	Midtjylland	Almen medicin	Distrikt Midt	Lægerne Odingården 1. sal	Psykiatri	Psykiatrien Region Midtjylland
385	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
386	Midtjylland	Almen medicin	Distrikt Midt	Midtbylægerne, Silkeborg	Psykiatri	Psykiatrien Region Midtjylland
387	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
388	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
389	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
390	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
391	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
392	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
393	Nordjylland	Kirurgi	Regionshospital Nordjylland	Kirurgisk område	Almen medicin	Område Region Nordjylland
394	Hovedstaden	Ortopædisk kirurgi	Nordsjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
395	Nordjylland	Intern medicin	Aalborg Universitetshospital	Medicinsk Gastroenteologisk Afdeling	Almen medicin	Område Region Nordjylland
396	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
397	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
398	Syddanmark	Kirurgi	Esbjerg Sygehus	Mave- og Tarmsygdomme, Esbjerg	Almen medicin	Område Sydvestjylland (Ribe)
399	Hovedstaden	Kirurgi	Nordsjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	Hovedstaden - Nord
400	Sjælland	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse	Lægerne Houmand og Grundsøe	Psykiatri	Psykiatrien Region SJ
401	Sjælland	Kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Kirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
402	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi, Aabenraa	Almen medicin	Område Sønderjylland
403	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
404	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi, Kolding	Almen medicin	Område Lillebælt (Vejle)
405	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme, Sønderborg	Almen medicin	Område Sønderjylland
