ValgRækkefølge	Region	Speciale	Enhed	Afdeling	Speciale2	Område
214	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers 	Almen medicin	Distrikt Øst
215	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
216	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
217	Midtjylland	Kirurgi	Aarhus Universitetshospital	Mave- og Tarmkirurgi 	Almen medicin	Distrikt Øst
218	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
219	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
220	Hovedstaden	Akutmedicin	NordSjællands Hospital	HIL, Akutafdelingen	Almen medicin	NordSjælland
221	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
222	Midtjylland	Kirurgi	Hospitalsenheden Horsens	Kirurgi, Overafdeling	Almen medicin	Distrikt Øst
223	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
224	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
225	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
226	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
227	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
228	Hovedstaden	Neurologi	NordSjællands Hospital	HIL, Neurologisk Afdeling	Almen medicin	NordSjælland
229	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
230	Hovedstaden	Akutmedicin	NordSjællands Hospital	HIL, Akutafdelingen	Almen medicin	NordSjælland
231	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
232	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
233	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A	Almen medicin	Område Fyn
234	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
235	Hovedstaden	Intern medicin	Rigshospitalet	GLO, Medicinsk afd., MG	Almen medicin	Ydre København
236	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkir. afd.	Almen medicin	Område Lillebælt (Vejle)
237	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
238	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
239	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A	Almen medicin	Område Fyn
240	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
241	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
242	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
243	Hovedstaden	Intern medicin	Rigshospitalet	GLO, Medicinsk afd., MG	Almen medicin	Ydre København
244	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
245	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
246	Syddanmark	Kirurgi	OUH Odense Universitetshospital	Kirurgisk afd. A	Almen medicin	Område Fyn
247	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
248	Midtjylland	Intern medicin	Hospitalsenhed Midt	Diagnostisk Center Medicin	Almen medicin	Distrikt Midt
249	Grønland og Færøerne	Kirurgi	Landssjúkrahúsið, Torshavn, Færøerne	Kirurgisk Afdeling	Almen medicin	Område Færøerne
250	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjerte- og Medicinske Sygdomme	Almen medicin	Ydre København
251	Hovedstaden	Kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Mave-, Tarm- og Leversygdomme, Kirurgisk Klinik	Almen medicin	Indre København
252	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
253	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers 	Almen medicin	Distrikt Øst
254	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
255	Hovedstaden	Intern medicin	Amager og Hvidovre Hospital	HVH, Afdeling for Hjerte- og Medicinske Sygdomme	Almen medicin	Ydre København
256	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
257	Syddanmark	Ortopædisk kirurgi	Sygehus Sønderjylland Aabenraa	Ortopædkirurgi	Almen medicin	Område Sønderjylland
258	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
259	Hovedstaden	Akutmedicin	NordSjællands Hospital	HIL, Akutafdelingen	Almen medicin	NordSjælland
260	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
261	Midtjylland	Neurologi	Hospitalsenhed Midt	Neurologi	Almen medicin	Distrikt Midt
262	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
263	Hovedstaden	Akutmedicin	NordSjællands Hospital	HIL, Akutafdelingen	Almen medicin	NordSjælland
264	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Hjertesygdomme	Almen medicin	Område Sønderjylland
265	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
266	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers 	Almen medicin	Distrikt Øst
267	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
268	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	NordSjælland
269	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
270	Nordjylland	Intern medicin	Aalborg Universitetshospital	Hæmatologisk Afd.	Almen medicin	Område Region Nordjylland
271	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
272	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers 	Almen medicin	Distrikt Øst
273	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
274	Syddanmark	Ortopædisk kirurgi	OUH Svendborg Sygehus	Ortopædkirurgisk afd. O	Almen medicin	Område Fyn
275	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
276	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
277	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
278	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
279	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	NordSjælland
280	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers 	Almen medicin	Distrikt Øst
281	Syddanmark	Ortopædisk kirurgi	OUH Svendborg Sygehus	Ortopædkirurgisk afd. O	Almen medicin	Område Fyn
282	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
283	Hovedstaden	Ortopædisk kirurgi	NordSjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
284	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
285	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
286	Syddanmark	Neurologi	Sygehus Lillebælt Kolding	Hjerne- og Nervesygdomme	Almen medicin	Område Lillebælt (Vejle)
287	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
288	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
289	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
290	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
291	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
292	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
293	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Randers	Ortopædkirurgi - Randers	Almen medicin	Distrikt Øst
294	Midtjylland	Kirurgi	Regionshospitalet Randers	Mave- og Tarmkirurgi - Randers 	Almen medicin	Distrikt Øst
295	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
296	Hovedstaden	Intern medicin	Rigshospitalet	GLO, Medicinsk afd., MG	Almen medicin	Ydre København
297	Hovedstaden	Intern medicin	Rigshospitalet	GLO, Medicinsk afd., MG	Almen medicin	Ydre København
298	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 1	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
299	Sjælland	Intern medicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Medicinsk afd. 3 - geriatrisk afs.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
300	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
301	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
302	Midtjylland	Intern medicin	Hospitalsenhed Midt	Medicinsk Afdeling	Almen medicin	Distrikt Midt
303	Syddanmark	Ortopædisk kirurgi	Sydvestjysk Sygehus Esbjerg	Ortopædkirurgi	Almen medicin	Område Sydvestjylland (Ribe)
304	Hovedstaden	Akutmedicin	NordSjællands Hospital	HIL, Akutafdelingen	Almen medicin	NordSjælland
305	Nordjylland	Urologi	Aalborg Universitetshospital	Urologisk Afd.	Almen medicin	Område Region Nordjylland
306	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
307	Syddanmark	Urologi	Sygehus Lillebælt Vejle	Urinvejskirurgis afdeling	Almen medicin	Område Lillebælt (Vejle)
308	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	NordSjælland
309	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
310	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
311	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
312	Nordjylland	Kirurgi	Aalborg Universitetshospital	Kir. Afd, afsnit syd, Aalborg	Almen medicin	Område Region Nordjylland
313	Hovedstaden	Ortopædisk kirurgi	NordSjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	NordSjælland
314	Hovedstaden	Neurologi	Herlev og Gentofte Hospital	HEH, Afdeling for Hjerne- og Nervesygdomme	Almen medicin	Ydre København
315	Sjælland	Akutmedicin	Sjællands Universitetshospital	KOE, Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
316	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
317	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
318	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A	Almen medicin	Område Fyn
319	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
320	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Sjællands Universitetshospital
321	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
322	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	Indre København
323	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Vejle	Ortopædkir. afd.	Almen medicin	Område Lillebælt (Vejle)
324	Hovedstaden	Ortopædisk kirurgi	Herlev og Gentofte Hospital	HEH, Afdeling for Led- og Knoglekirurgi	Almen medicin	Indre København
325	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
326	Nordjylland	Intern medicin	Aalborg Universitetshospital	Med. Gastro. Afd.	Almen medicin	Område Region Nordjylland
327	Hovedstaden	Urologi	Herlev og Gentofte Hospital	HEH, Afdeling for Urinvejssygdomme	Almen medicin	NordSjælland
328	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
329	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
330	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
331	Midtjylland	Neurologi	Hospitalsenhed Midt	Neurologi	Almen medicin	Distrikt Midt
332	Hovedstaden	Akutmedicin	NordSjællands Hospital	HIL, Akutafdelingen	Almen medicin	NordSjælland
333	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
334	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
335	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
336	Hovedstaden	Kirurgi	Amager og Hvidovre Hospital	HVH, Gastroenheden, Kirurgisk	Almen medicin	Ydre København
337	Syddanmark	Urologi	Sygehus Lillebælt Vejle	Urinvejskirurgis afdeling	Almen medicin	Område Lillebælt (Vejle)
338	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi	Almen medicin	Område Lillebælt (Vejle)
339	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Indre København
340	Midtjylland	Intern medicin	Regionshospitalet Gødstrup	Medicinsk Afdeling	Almen medicin	Distrikt Vest
341	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
342	Hovedstaden	Neurologi	NordSjællands Hospital	HIL, Neurologisk Afdeling	Almen medicin	NordSjælland
343	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi	Almen medicin	Område Lillebælt (Vejle)
344	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
345	Syddanmark	Ortopædisk kirurgi	Sygehus Lillebælt Kolding	Ortopædkirurgi	Almen medicin	Område Lillebælt (Vejle)
346	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
347	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
348	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
349	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
350	Nordjylland	Ortopædisk kirurgi	Aalborg Universitetshospital	Ortopædkirurgisk Afd., Aalborg	Almen medicin	Område Region Nordjylland
351	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
352	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
353	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A	Almen medicin	Område Fyn
354	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi	Almen medicin	Område Lillebælt (Vejle)
355	Syddanmark	Kirurgi	OUH Svendborg Sygehus	Kirurgisk afd. A	Almen medicin	Område Fyn
356	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
357	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
358	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
359	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Lunge- og Infektionsmedicinsk Afdeling	Almen medicin	NordSjælland
360	Hovedstaden	Neurologi	NordSjællands Hospital	HIL, Neurologisk Afdeling	Almen medicin	NordSjælland
361	Nordjylland	Akutmedicin	Aalborg Universitetshospital	Akut- og Traumecenter	Almen medicin	Område Region Nordjylland
362	Midtjylland	Akutmedicin	Regionshospitalet Gødstrup	Akutafdelingen	Almen medicin	Distrikt Vest
363	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
364	Midtjylland	Urologi	Regionshospitalet Gødstrup	Urinvejskirurgi  	Almen medicin	Distrikt Vest
365	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
366	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
367	Syddanmark	Ortopædisk kirurgi	Sydvestjysk Sygehus Esbjerg	Ortopædkirurgi	Almen medicin	Område Sydvestjylland (Ribe)
368	Nordjylland	Neurologi	Aalborg Universitetshospital	Neurologisk Afd.	Almen medicin	Område Region Nordjylland
369	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	NordSjælland
370	Nordjylland	Intern medicin	Aalborg Universitetshospital	Lungemed. Afd.	Almen medicin	Område Region Nordjylland
371	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	NordSjælland
372	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
373	Hovedstaden	Ortopædisk kirurgi	NordSjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	NordSjælland
374	Hovedstaden	Ortopædisk kirurgi	Amager og Hvidovre Hospital	HVH, Ortopædkirurgisk Afdeling	Almen medicin	Ydre København
375	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	NordSjælland
376	Syddanmark	Kirurgi	Sygehus Sønderjylland Aabenraa	Kirurgi	Almen medicin	Område Sønderjylland
377	Midtjylland	Ortopædisk kirurgi	Regionshospitalet Gødstrup	Ortopædkirurgi  	Almen medicin	Distrikt Vest
378	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
379	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
380	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
381	Sjælland	Urologi	Sjællands Universitetshospital	ROS, Urologisk afd.	Almen medicin	Område Sjællands Universitetshospital
382	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
383	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
384	Hovedstaden	Intern medicin	NordSjællands Hospital	HIL, Kardiologisk Afdeling	Almen medicin	NordSjælland
385	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi	Almen medicin	Område Lillebælt (Vejle)
386	Syddanmark	Intern medicin	Sygehus Sønderjylland Sønderborg	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
387	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
388	Hovedstaden	Ortopædisk kirurgi	NordSjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	NordSjælland
389	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
390	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
391	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
392	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
393	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi	Almen medicin	Område Lillebælt (Vejle)
394	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
395	Syddanmark	Intern medicin	Sydvestjysk Sygehus Esbjerg	Fælles Medicinske afdelinger	Almen medicin	Område Sydvestjylland (Ribe)
396	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
397	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
398	Hovedstaden	Ortopædisk kirurgi	NordSjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	NordSjælland
399	Syddanmark	Kirurgi	Sydvestjysk Sygehus Esbjerg	Mave- og Tarmsygdomme	Almen medicin	Område Sydvestjylland (Ribe)
400	Syddanmark	Kirurgi	Sygehus Lillebælt Kolding	Organkirurgi	Almen medicin	Område Lillebælt (Vejle)
401	Hovedstaden	Ortopædisk kirurgi	NordSjællands Hospital	HIL, Ortopædkirurgisk Afdeling	Almen medicin	NordSjælland
402	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
403	Syddanmark	Intern medicin	Sygehus Sønderjylland Aabenraa	Medicinske Sygdomme	Almen medicin	Område Sønderjylland
404	Nordjylland	Intern medicin	Aalborg Universitetshospital	Med. Gastro. Afd.	Almen medicin	Område Region Nordjylland
405	Nordjylland	Intern medicin	Aalborg Universitetshospital	Endokrinologisk Afd.	Almen medicin	Område Region Nordjylland
406	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
407	Nordjylland	Intern medicin	Aalborg Universitetshospital	Nyremed. Afd	Almen medicin	Område Region Nordjylland
408	Syddanmark	Ortopædisk kirurgi	Sydvestjysk Sygehus Esbjerg	Ortopædkirurgi	Almen medicin	Område Sydvestjylland (Ribe)
409	Nordjylland	Intern medicin	Aalborg Universitetshospital - Thisted	Medicinsk afd.	Almen medicin	Område Region Nordjylland
410	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
411	Sjælland	Ortopædisk kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Ortopædkirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
412	Sjælland	Kirurgi	Næstved, Slagelse og Ringsted Sygehuse	SLA, Kirurgisk afd.	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
413	Hovedstaden	Kirurgi	NordSjællands Hospital	HIL, Kirurgisk Afdeling	Almen medicin	NordSjælland
414	Midtjylland	Kirurgi	Regionshospitalet Gødstrup	Mave- og Tarmkirurgi	Almen medicin	Distrikt Vest
415	Sjælland	Intern medicin	Holbæk Sygehus	Medicinsk afd. 	Almen medicin	Område Holbæk Sygehus
416	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
417	Sjælland	Kirurgi	Sjællands Universitetshospital	KOE, Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
418	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Nykøbing Falster Sygehus
419	Sjælland	Akutmedicin	Holbæk Sygehus	Akutafdeling	Almen medicin	Område Holbæk Sygehus
420	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Holbæk Sygehus
421	Midtjylland	Kirurgi	Regionshospitalet Gødstrup	Mave- og Tarmkirurgi	Almen medicin	Distrikt Vest
422	Sjælland	Akutmedicin	Næstved, Slagelse og Ringsted Sygehuse	SLA, Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
423	Nordjylland	Kirurgi	Regionshospital Nordjylland	Kir. Område	Almen medicin	Område Region Nordjylland
424	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
425	Midtjylland	Neurologi	Regionshospitalet Gødstrup	Neurologisk Klinik Gødstrup 	Almen medicin	Distrikt Vest
426	Sjælland	Kirurgi	Holbæk Sygehus	Kirurgisk afd.	Almen medicin	Område Sjællands Universitetshospital
427	Nordjylland	Akutmedicin	Regionshospital Nordjylland	Akutmodtagelsen	Almen medicin	Område Region Nordjylland
428	Syddanmark	Neurologi	Sydvestjysk Sygehus Esbjerg	Hjerne- og Nervesygdomme	Almen medicin	Område Sydvestjylland (Ribe)
429	Sjælland	Akutmedicin	Nykøbing F. Sygehus	Akutafdeling	Almen medicin	Område Næstved, Slagelse, Ringsted Sygehuse
